"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
3.4887311087932e-05,0.000307855116746632,0.00547777895723182,8.09427083298182e-05,3.80579553943795e-05,4.77432364092035e-05,0.000333272456131509,4.83153801699156e-05,0.00133472102912022,0.000699875826913926,0.42428174318161,0.562380840599851,0.00057243298380747,6.07656971298006e-05,0.000605058366767078,0.000473228309202195,9.72358885679685e-07,0.000466767225275263,8.96388048424823e-06,0.00125407546388403,0.000724595532709763,0.000341063374526522,0.000317052740419628,4.06272338438659e-05,6.83630740684592e-05
0.000230896671998234,3.75724154229522e-05,0.112145348573815,0.000120429316873108,9.7345700894832e-05,8.48086440358267e-07,0.000181586975930096,5.30445727818779e-05,0.000515659185915814,0.000432558041483354,0.422755262194472,0.455394980224755,0.000359713913497265,0.00175071743740576,0.000209369393987342,0.00248504875498015,7.02561347231428e-07,0.000317362077361783,7.00961408351715e-07,0.00170912506438823,0.000162508920278245,0.000461181685888328,0.000508221308317023,6.72467762490292e-05,2.56918410841708e-06
0.00502732948817164,0.000868474328563329,0.297077065060083,0.000146724606412589,8.56991192047328e-05,7.78465404844837e-05,0.000311112782299383,0.000383814179742059,0.00194277372809542,0.00154498566796032,0.0458122281631515,0.353229045373191,0.00130255365483503,0.00533993376297269,0.000364232693677848,0.208341746191295,4.61050401168545e-06,0.000800113957505313,8.14510929325474e-05,0.0665341766329581,0.000155795809935114,0.000821959339007934,0.00939621508927065,0.000322114935797357,2.7997298441743e-05
0.373188862621364,0.00103594743503634,0.222059271619029,0.00044412246120805,0.000258514255469808,0.000198661538563068,0.000644357110145718,0.000282814022076696,0.00433349043604544,0.00551377580215143,0.00115736868222753,0.114255864332027,0.00178788972998218,0.00112879673461441,0.00113663544464996,0.156631152766045,3.38262762813229e-05,0.00718881409597172,2.71312827234817e-05,0.052247576724524,0.00150430704444955,0.00212779721058122,0.0525550887905469,0.00021110646128304,4.6827123003333e-05
0.0475050708415632,0.00243709468559531,0.0757561594400452,0.00105496743354452,0.000967566494306044,0.00142365944100034,0.090536797351995,0.00110919288020374,0.108163709995947,0.197887362602599,0.00934366634920947,0.00507319523043946,0.00235556369080587,0.00599808037083648,0.00586683662388364,0.0998828465107234,0.00033081495842813,0.0425151492661031,0.000328159810771172,0.00622239605726339,0.004323888629212,0.00494427430590743,0.28482992156506,0.000896075907054772,0.000247549557502592
0.00293377563601583,0.0191876815861215,0.0325373444363017,0.00808826757648202,0.0034685809673561,0.00175318392712355,0.178972063625551,0.00259351313147242,0.164067693590956,0.165337057597672,0.0244346495217016,0.00224529789578145,0.0444816623953653,0.00564408508933158,0.00494698189594162,0.070612652587164,0.000700245918138303,0.171512933617198,0.00049310034993191,0.0319176199480317,0.00278121279412512,0.016466160049991,0.0416433742856895,0.00199464824706775,0.00118621332948788
0.0054840603522356,0.24535577156939,0.0192541107996612,0.00894059745655315,0.00631754100479914,0.12338160530779,0.0418147916142972,0.00832842979745484,0.0248637144047506,0.0156829599764194,0.00646609704336019,0.000922484362950286,0.00924955376328083,0.241723415903574,0.0136471270919318,0.0107183783264554,0.0063345116746913,0.093126915503074,0.00303116853352118,0.00515377978885906,0.00883667167668821,0.0882342344285193,0.00609784363028824,0.00489238669518589,0.00214184929426948
0.00117691170631049,0.00590527548621947,0.00646079277428599,0.124314837779508,0.0342354414388625,0.155637923078102,0.00301234557185253,0.00399234327562357,0.008620262793197,0.00349497087490658,0.0104747783903141,0.000498667872108687,0.0948366609498283,0.00115517187687804,0.00941013492199616,0.00754327010945444,0.195629109893902,0.00447079873903028,0.00388334764079442,0.105183218807204,0.111090437109697,0.100696489306697,0.0032760057460004,0.00296249190508651,0.00203831195214026
0.00103363908987438,0.0131868890175445,0.00995947908371141,0.00874349500605602,0.0930167760210312,0.00893283007630685,0.00399826381864093,0.0817202557841913,0.00471963924721637,0.00294878669582116,0.0093500414000386,0.000318042184552999,0.0553871935966863,0.00283754080780618,0.149356339205092,0.0074599198289664,0.0606147831320638,0.00820031348931987,0.254907239688491,0.0075639641857928,0.0517174030003894,0.0127267046036821,0.00222163512869664,0.146645317998089,0.00243350790993955
0.000623189475750478,0.00503581785196428,0.00537841040963787,0.0626063090980855,0.156955852296877,0.00294151462580888,0.00267590660585129,0.198760816661632,0.0028850646976368,0.0014228210174701,0.00270912243788375,0.000181594650602091,0.0199054070044873,0.00173643030075338,0.11628219965542,0.00415284485349996,0.00153591072449413,0.00371709503345464,0.00268123335622392,0.0058784110623968,0.00763383705815798,0.00418055721543803,0.00155438250460303,0.160891139980712,0.227674131421159
